基金代码,基金名称,1月(%) (总回报率),3月(%) (总回报率),6月(%) (总回报率),1年(%) (年化回报率),2年(%) (年化回报率),今年以来(%) (总回报率),设立以来(%)(总回报率),类型
000041,华夏全球股票(QDII),-12.14,-9.2,0,-9.54,9.89,-9.71,-5.2,QDII
000614,华安国际龙头(DAX)ETF联接(QDII),-8.1,-11.54,-8.33,-13.91,3.43,-12.53,8.9,QDII
002392,华安全球美元收益债券A(美元现汇)(QDII),-0.25,-0.06,-3.41,-5.71,-0.62,-5.43,2.52,QDII
241001,华宝海外中国成长混合(QDII),-14.48,-21.22,-20.5,-23.71,5.24,-25.13,40,QDII
004998,长信全球债券(QDII),0.62,1.65,6.45,0,0,2.86,2.19,QDII
003630,上投摩根全球多元配置(美元现钞)(QDII-FOF),-7.91,-7.91,-5.23,-2.4,0,-5.23,12.41,QDII
206006,鹏华环球发现(QDII-FOF),-11.26,-14.24,-9.36,-14.24,-4.45,-14.66,-10.9,QDII
002426,华安全球美元票息债券A(QDII),0.56,2.07,6.48,-1.09,0.7,0.74,8.4,QDII
118002,易方达标普全球高端消费品指数增强(QDII)A,-11.16,-11.62,-6.35,-1.95,11.71,-4.78,71.2,QDII
160121,南方金砖四国指数(QDII),-7.38,-8.3,-6.01,-3.24,8.19,-5.75,3.59,QDII
160139,南方恒生中国企业精明指数(QDII-LOF)C,-8.18,-6.9,-6.58,-8.04,0,-7.44,0.13,QDII
004164,国泰中国企业信用精选债券(QDII)C,-0.17,1.15,5.28,1.36,0,2.67,2.01,QDII
457001,富兰克林国海亚洲(除日本)机会股票(QDII),-12.59,-21.48,-17.34,-16.36,1.35,-17.82,-10.42,QDII
003719,易方达标普医疗保健指数(美元)(QDII-LOF),-10.31,-4.2,0.52,2.49,0,1.52,19.45,QDII
161116,易方达黄金主题(QDII-LOF-FOF),1.29,0.86,2.46,-0.98,-2.26,-1.12,-29.3,QDII
161124,易方达香港恒生综合小型股指数(QDII-LOF)A,-11.5,-19.25,-13.62,-11.79,0,-11.32,-2.7,QDII
002891,华夏移动互联灵活配置混合(QDII),-12.47,-20.25,-13.11,-19.98,0,-16.5,-5.9,QDII
160644,鹏华香港美国互联网股票(QDII-LOF),-15.79,-17.4,-12.17,0,0,-20.27,-22.69,QDII
003386,工银瑞信全球美元债债券(QDII)(美元现汇)A,0.2,0.34,0.34,0.48,0,0.41,0.55,QDII
003046,招商中国信用机会定期开放债券(QDII),-0.6,1.83,6.5,-1.58,-0.64,0.4,-0.1,QDII
001691,南方香港成长灵活配置混合(QDII),-14.19,-26.2,-21.08,-24.71,-8.51,-23.62,-21.4,QDII
050030,博时亚洲票息收益债券(QDII),0.23,1.99,6.94,0.89,2.6,2.84,49.57,QDII
040018,华安香港精选股票(QDII),-11.6,-19.3,-15.54,-16.42,2.34,-16.66,19.6,QDII
162415,华宝标普美国(QDII-LOF),-10.84,-5.6,7.31,14.89,14.83,9.9,36.6,QDII
160125,南方香港优选股票(QDII-LOF),-13.42,-18.73,-15.27,-11.98,2.8,-14.73,-27.41,QDII
002429,华安全球美元票息债券C(QDII),0.56,2,6.26,-1.83,0.09,0.28,7,QDII
000103,国泰中国企业境外高收益债券(QDII),0,2.19,7.73,0.3,1.28,2.58,35.2,QDII
165510,信诚四国配置(QDII-FOF-LOF),-6.86,-13.39,-14.91,-19.74,-3.42,-20.02,-32.1,QDII
320017,诺安全球收益不动产(QDII),-0.8,0.2,12.22,2.53,0.54,1.08,49.7,QDII
096001,大成标普500等权重指数(QDII),-8.12,-5.1,5.29,4.36,9.45,1.79,92.29,QDII
539003,建信全球资源混合(QDII),-10.64,-9.6,-2.94,-0.81,6.47,-3.6,-11.55,QDII
050015,博时大中华亚太精选股票(QDII),-9.1,-16.61,-14.04,-19.17,-0.1,-18.27,10.28,QDII
002877,华夏大中华信用精选债券(QDII)A,0.39,1.29,4.94,1.7,0.64,2.52,1.9,QDII
050202,博时亚洲票息收益债券美元现汇(QDII),-0.63,-0.11,-2.28,-3.32,1.49,-3.13,35.4,QDII
005801,工银瑞信印度市场(美元)(QDII-LOF-FOF),-8.87,-15.44,0,0,0,-19.41,-19.41,QDII
002393,华安全球美元收益债券C(QDII),0.46,1.87,5.43,-2.07,0,-0.09,8.7,QDII
486002,工银瑞信全球精选股票(QDII),-7.76,-6.09,5.48,9.13,13.35,7.22,108,QDII
000369,广发全球医疗保健指数(QDII),-5.89,-0.7,13.03,8.79,11.38,9.29,56.57,QDII
004162,国泰中国企业信用精选债券(QDII)(美元现汇)A,-1,-0.87,-3.59,-2.44,0,-2.95,-3.9,QDII
519696,交银环球精选股票(QDII),-8.32,-7.56,1.08,0.55,9.6,-1.92,139.5,QDII
002287,中银美元债债券(美元)(QDII),-0.25,0.37,-0.31,-1.17,0.76,-1.11,4.08,QDII
001876,鹏华全球高收益债债券(美元现汇)(QDII),-2.59,-2.9,-6.73,-8.93,-1.07,-8.93,9.72,QDII
005441,华安全球稳健配置(QDII-FOF)C,0.13,-0.23,0,0,0,-0.22,-0.22,QDII
003718,易方达标普500指数(美元)(QDII-LOF),-8.19,-5.3,-0.59,3.38,0,-0.12,15.61,QDII
040046,华安纳斯达克100指数(QDII),-10.45,-5.69,9.88,11.88,17.96,10.41,109,QDII
100055,富国全球科技互联网股票(QDII),-11.47,-15.06,-13.23,-10.6,7.04,-10.72,33.02,QDII
000179,广发美国房地产(QDII),-0.44,-0.44,15.88,3.71,1.96,2.81,49.97,QDII
040021,华安大中华升级股票(QDII),-14.27,-24.44,-18.49,-19.87,-2.12,-20.51,19,QDII
003720,易方达标普生物科技指数(美元)(QDII-LOF),-18.1,-17.23,-12.13,-7.97,0,-9.14,17.28,QDII
217015,招商全球资源股票(QDII),-9.93,-15.12,-10.62,-14.66,0.37,-15.58,-5.7,QDII
003322,易方达原油(QDII-FOF-LOF)(美元)A,-7.23,0.11,3.03,28.57,0,16.2,30.18,QDII
050020,博时抗通胀增强回报(QDII-FOF),-3.28,-0.56,3.72,5.58,0.76,6.21,-47,QDII
070031,嘉实全球房地产(QDII),-5.61,-5.28,4.56,2.14,2.66,-0.76,32.51,QDII
000948,华夏沪港通恒生ETF联接(QDII)A,-10.34,-12.05,-9.1,-8.27,5.54,-11.23,12.47,QDII
470888,汇添富香港优势精选混合(QDII),-12.6,-23.47,-21.12,-18.45,-2.04,-23.27,-0.6,QDII
000989,嘉实全球互联网股票(美元现汇)(QDII),-17.49,-20.63,-20.69,-16.93,6.68,-17.73,10.4,QDII
003321,易方达原油(QDII-FOF-LOF)C,-6.48,2.12,12.55,33.54,0,22.89,28.84,QDII
000342,嘉实新兴市场债券A1(QDII),0.08,2.11,8.13,1.34,3.34,2.72,21,QDII
002402,南方亚洲美元收益债券A(美元现汇)(QDII),-0.42,0.12,-0.55,-2.09,0.99,-1.8,7.33,QDII
164824,工银瑞信印度市场(QDII-LOF-FOF),-5.93,-12.99,0,0,0,-12.43,-12.39,QDII
100061,富国中国中小盘(香港上市)混合(QDII),-9.68,-18.57,-12.18,-12.03,4.83,-12.57,100.79,QDII
002379,工银香港中小盘股票(QDII),-11.99,-20.62,-17.96,-23.59,-1.2,-24.07,10.1,QDII
519709,交银全球资源股票(QDII),-13.15,-22.99,-15.53,-10.76,5.28,-13.38,38.55,QDII
000290,鹏华全球高收益债债券(QDII),-1.79,-0.86,2.14,-4.87,-0.03,-3.49,38.65,QDII
005614,上投摩根富时发达市场REITs指数(QDII)(美元现钞),-1.89,-1.29,1.58,0,0,1.2,1.2,QDII
163208,诺安油气能源股票(QDII-FOF-LOF),-12.94,-11.72,-1.45,3.77,-0.23,-2.11,-11.9,QDII
002391,华安全球美元收益债券A(QDII),0.55,2.04,5.67,-1.61,0.46,0.37,10,QDII
000934,富兰克林国海大中华精选混合(QDII),-12.63,-22.1,-16.38,-17.12,6.15,-15.32,12.8,QDII
519602,海富通大中华精选混合(QDII),-12.91,-21.17,-12.3,-13.82,5.72,-15.57,-0.2,QDII
005613,上投摩根富时发达市场REITs指数(QDII),-1.1,0.79,11.17,0,0,11.6,11.6,QDII
003385,工银瑞信全球美元债债券(QDII)A,1.59,3.08,10.2,5.42,0,6.85,1.99,QDII
378546,上投摩根全球天然资源混合(QDII),-10.03,-10.38,-5.01,0.59,5.74,-5.01,-31.8,QDII
539001,建信全球机遇混合(QDII),-8.23,-9.62,-2.63,-2.63,11.14,-3.72,37.1,QDII
160138,南方恒生中国企业精明指数(QDII-LOF)A,-8.14,-6.79,-6.38,-7.67,0,-7.12,0.73,QDII
270027,广发全球农业指数(QDII),-4.95,-1.14,3.77,-3.51,5.26,-3.66,21,QDII
165513,信诚全球商品主题(QDII-FOF-LOF),-8.64,-2.06,4.39,7.21,-0.21,5.31,-52.4,QDII
070012,嘉实海外中国股票(QDII),-11.28,-16.11,-11.8,-14.11,5.76,-15.55,-24.5,QDII
206011,鹏华美国房地产(QDII),-8.66,-6.51,-0.17,-8.34,0.29,-10.02,32.47,QDII
003721,易方达标普信息科技指数(QDII-LOF)(美元),-10.6,-6.78,1.57,6.95,0,5.09,33.06,QDII
161714,招商标普金砖四国指数(QDII-LOF),-9.05,-12.24,-8.78,-7.87,6.86,-9.76,-7.5,QDII
004999,长信全球债券(美元)(QDII),-0.2,-0.47,-2.71,0,0,-3.09,-2.64,QDII
003631,上投摩根全球多元配置(美元现汇)(QDII-FOF),-7.91,-7.91,-5.23,-2.4,0,-5.23,12.41,QDII
002400,南方亚洲美元收益债券A(QDII),0.44,2.25,8.83,2.21,2.13,4.27,13.86,QDII
110031,易方达恒生中国企业ETF联接(QDII)A,-7.83,-6.72,-5.39,-5.97,5.29,-5.42,11.73,QDII
002403,南方亚洲美元收益债券C(美元现汇)(QDII),-0.43,0,-0.8,-2.53,0.5,-2.17,5.95,QDII
002892,华夏移动互联灵活配置混合(QDII)(美元现汇),-13.24,-21.93,-20.61,-23.35,0,-21.39,-6.48,QDII
164701,汇添富黄金及贵金属(QDII-LOF-FOF),3.29,1.71,0.51,-1.32,-2.89,-1.81,-40.4,QDII
002427,华安全球美元票息债券A(美元现汇)(QDII),-0.32,-0.06,-2.74,-5.28,-0.41,-5.16,2.76,QDII
161815,银华抗通胀主题(QDII-FOF-LOF),-2.68,1.6,6.49,10.89,4.96,7.84,-49.1,QDII
501018,南方原油(QDII-FOF)A,-6.32,2.57,13.23,33.67,13.98,23.33,28.47,QDII
005558,广发海外多元配置(QDII-FOF)(美元),-8.38,-8.56,-8.38,0,0,-12.03,-12.03,QDII
003464,泰达宏利亚洲债券C(QDII),-0.28,-2.28,-0.64,-7.1,-2.65,-5.48,-5.23,QDII
161130,易方达纳斯达克100指数(QDII-LOF),-10.72,-5.96,9.75,10.94,0,9.88,15.28,QDII
002880,华夏大中华信用精选债券(QDII)C,0.4,1.2,4.78,1.2,0.2,2.13,0.8,QDII
003387,工银瑞信全球美元债债券(QDII)C,1.55,3.01,10,5.02,0,6.52,1.28,QDII
005534,华夏新时代灵活配置混合(QDII),-5.95,-7.27,0,0,0,-8.18,-8.18,QDII
118001,易方达亚洲精选股票(QDII),-14.01,-20.77,-15.89,-10.47,5.15,-16.22,-15.3,QDII
519981,长信标普100等权重指数(QDII),-6.15,-2.77,8.3,4.28,8.37,2.34,84.66,QDII
001936,国泰全球绝对收益(QDII-FOF),-0.97,-0.39,6.71,2.21,0.1,4.09,1.8,QDII
004161,国泰中国企业信用精选债券(QDII)A,-0.14,1.25,5.52,1.83,0,3.06,2.54,QDII
161831,银华恒生中国企业(QDII),-7.71,-6.3,-5.73,-7.87,4.58,-7.15,4.87,QDII
004419,汇添富精选美元债债券A(QDII),-0.41,1.08,6.44,1.01,0,2.8,0.48,QDII
160924,大成恒生指数(QDII-LOF),-9.96,-11.69,-9.16,-9.43,0,-12.02,-7.8,QDII
183001,银华全球优选(QDII-FOF),-6.86,-5.85,1.62,0.36,9.79,-2,12.7,QDII
002230,华夏大中华企业精选灵活配置混合(QDII),-6.28,-15.91,-16.36,-26.42,-6.7,-25.36,8.9,QDII
378006,上投摩根全球新兴市场混合(QDII),-11.37,-17.29,-16.14,-16.99,4.49,-20.42,-9.6,QDII
161127,易方达标普生物科技指数(QDII-LOF),-17.4,-15.49,-3.86,-3.95,0,-3.55,18.62,QDII
161129,易方达原油(QDII-FOF-LOF)A,-6.48,2.22,12.75,34.14,0,23.33,29.85,QDII
002401,南方亚洲美元收益债券C(QDII),0.39,2.12,8.55,1.69,1.61,3.83,12.37,QDII
202801,南方全球精选配置(QDII-FOF),-9.6,-11.1,-3.6,-4.78,3.12,-6.54,-14.3,QDII
320013,诺安全球黄金(QDII-FOF),3.96,2.34,1.42,-0.51,-2.21,-0.63,-14.72,QDII
262001,景顺长城大中华混合(QDII),-10.7,-17.97,-8.92,-10.77,6.29,-10.77,46.54,QDII
050203,博时亚洲票息收益债券美元现钞(QDII),-0.63,-0.11,-2.28,-3.32,1.49,-3.13,35.4,QDII
000274,广发亚太中高收益债券(QDII),-0.65,2.34,7.17,-0.24,0.99,1.49,30.36,QDII
003243,上投摩根中国世纪灵活配置混合(QDII),-11.21,-18.5,-16.82,-14.2,0,-17.81,17.2,QDII
002286,中银美元债债券(QDII),0.63,2.48,9.1,3.15,1.89,4.99,11.5,QDII
000988,嘉实全球互联网股票(QDII),-16.78,-18.93,-13.15,-13.15,8.05,-12.48,25.5,QDII
460010,华泰柏瑞亚洲领导企业混合(QDII),-10.12,-16.4,-10.61,-15.46,1.8,-17.23,-17.4,QDII
001668,汇添富全球移动互联灵活配置混合(QDII),-13.3,-18.39,-8.76,-5.7,0,-7.79,29.1,QDII
004163,国泰中国企业信用精选债券(QDII)(美元现钞)A,-1,-0.87,-3.71,-2.57,0,-2.95,-3.9,QDII
004877,汇添富全球医疗保健混合(QDII),-14.41,-17.68,-10.01,-3.43,0,-3.98,-1.78,QDII
160213,国泰纳斯达克100指数(QDII),-11.29,-6.29,9.71,11.62,18.78,10.09,242.14,QDII
100050,富国全球债券(QDII-FOF),-0.18,0.91,7.9,2.03,1.76,3.66,10.6,QDII
005557,广发海外多元配置(QDII-FOF),-7.14,-6.06,0.64,0,0,-3.46,-3.46,QDII
003047,招商中国信用机会定期开放债券(美元)(QDII),-1.37,0,-2.7,-5.88,-1.69,-5.26,-4,QDII
050025,博时标普500ETF联接(QDII)A,-8.03,-3.91,7.78,6.67,12.33,4.72,117.68,QDII
539002,建信新兴市场优选混合(QDII),-8.61,-7.82,-5.7,-8.7,5.21,-10.32,-14,QDII
270023,广发全球精选股票(QDII),-10.24,-13.3,-8.38,-13.27,4.66,-14.05,86.15,QDII
005699,工银瑞信新经济灵活配置混合(QDII),-10.9,-19.15,0,0,0,-17.6,-17.6,QDII
005615,上投摩根富时发达市场REITs指数(QDII)(美元现汇),-1.89,-1.29,1.58,0,0,1.2,1.2,QDII
160719,嘉实黄金(QDII-FOF-LOF),3.87,2.2,1.01,-0.71,-2.28,-0.99,-30.2,QDII
005698,华夏全球科技先锋混合(QDII),-10.38,-11.81,-7.65,0,0,-7.97,-7.97,QDII
161620,融通丰利四分法(QDII-FOF),-8.35,-10.87,-6.75,-14.65,-4.91,-16.27,-25.4,QDII
486001,工银瑞信全球股票(QDII),-9.32,-10.58,-1.37,1.77,12.42,-1.28,81.63,QDII
501021,华宝标普香港上市中国中小盘指数(QDII-LOF)A,-13.79,-19.82,-16.74,-14.97,5.06,-17.11,18.1,QDII
160922,大成恒生综合中小型股指数(QDII-LOF),-11.53,-16.4,-16.47,-20,0,-19.93,-7.2,QDII
003323,易方达原油(QDII-FOF-LOF)(美元)C,-7.29,0,2.82,27.98,0,15.77,29.14,QDII
164906,交银施罗德中证海外中国互联网指数(QDII-LOF),-16.43,-27.49,-22.35,-21.72,0.95,-23.74,6.3,QDII
001092,广发纳斯达克生物科技(QDII),-12.69,-9.6,7.3,2.75,8.76,2.32,-3,QDII
001061,华夏海外收益债券A(QDII),0,1.04,6.34,1.13,3.06,1.94,44.58,QDII
519517,汇添富货币B,0.17,0.4,0.67,2.79,3.39,0.78,0,货币型
005706,兴业龙腾双益平衡混合,-2.55,-2.17,-1.27,0,0,-1.22,-1.22,混合型
003161,南方安泰混合,-1.4,-2.15,-1.01,0.04,2.35,0.04,4.95,混合型
000601,华宝创新优选混合,-9.17,-15.58,-21.56,-30.34,-7.86,-24.78,-9.39,混合型
004092,博时沪港深价值优选灵活配置混合C,-9.11,-18.1,-18.14,-19.51,0,-19.67,-1.47,混合型
233015,大摩华鑫量化配置混合,-9.3,-12.55,-17.17,-23.61,-9.89,-22.85,65.56,混合型
000550,广发新动力混合,-13.15,-20.6,-22.25,-39.61,-17.83,-33.82,49.9,混合型
519019,大成景阳领先混合,-7.55,-17.59,-22.79,-22.4,-3.52,-28.08,11.73,混合型
005256,富国新优选灵活配置定期开放混合A,-1.51,-1.32,-0.16,0,0,-1.82,-1.81,混合型
002319,大成一带一路灵活配置混合,-7.5,-13.37,-13.62,-13.25,0,-14.95,-4.49,混合型
163801,中银中国混合(LOF),-7.57,-14.04,-11.3,-10.33,-2.4,-10.16,615.84,混合型
000294,华安生态优先混合,-10.8,-15.12,-14.04,-13.83,1.1,-15.74,75.1,混合型
001140,工银总回报灵活配置混合,-4.65,-6.24,-12.58,-15.98,-8.25,-15.05,-15.9,混合型
202202,南方避险增值混合,-1.68,-2.37,-1.44,-0.81,1.39,-0.95,327.05,混合型
377150,上投摩根健康品质生活混合,-13.58,-22.05,-29.17,-30.74,-13.97,-29.52,56.6,混合型
002776,招商安荣灵活配置混合A,-4.63,-7.58,0,0,0,-9.55,-9.55,混合型
004250,银河量化优选混合,-9.86,-15.35,-16.18,-23.15,0,-19.27,-16.57,混合型
202019,南方策略优化混合,-11.35,-16.77,-23.24,-33.86,-19.08,-32.8,6.81,混合型
001983,中邮低碳经济灵活配置混合,-4.07,-9.46,-17.28,-28.84,-24.95,-27,-43.5,混合型
210001,金鹰成份优选混合,-5.5,-9.19,-18.08,-18.43,-7.87,-23.55,215.89,混合型
166005,中欧价值发现混合A,-11.27,-15.77,-14.59,-17.16,1.8,-18.09,129.33,混合型
270001,广发聚富,-10.76,-15.63,-14.99,-25.08,-2.79,-24.29,405.53,混合型
001266,国投瑞银招财灵活配置混合,-11.05,-21.72,-29.18,-26.4,0,-25.01,-26.21,混合型
202002,南方稳健成长贰号混合,-11.96,-15.72,-17.81,-21.68,-4.42,-21.82,128.69,混合型
003025,新华红利回报混合,-1.08,-2.37,-3.85,-5.54,0,-5.08,-1.41,混合型
001879,长城创新动力灵活配置混合,-8.29,-12.07,-11.63,-24.88,0,-21.68,-15.34,混合型
166301,华商新趋势优选灵活配置混合,-11.55,-14.48,-18.65,-10.8,-2.62,-15.32,-6.4,混合型
460007,华泰柏瑞行业领先混合,-14.37,-21.84,-26.53,-31.6,-6.55,-31.51,10.2,混合型
320015,诺安行业轮动混合,-6.16,-8.25,-8.04,-8.32,0,-10.66,0.53,混合型
001910,泰康新机遇灵活配置混合,-11.22,-14.85,-18.4,-19.67,-3.59,-20.5,0.19,混合型
003494,富国天惠成长混合(LOF)C,-14.17,-20.39,-24.37,-24.8,0,-25.1,-10.65,混合型
004848,中欧睿泓定期开放灵活配置混合,-4.24,-5.88,-8.35,0,0,-10.27,-9.72,混合型
001569,泰信国策驱动灵活配置混合,-15.24,-22.06,-29.7,-36.91,-21.05,-29.89,-47.7,混合型
005653,富兰克林国海天颐混合C,0.6,0.75,1.7,0,0,1.84,1.84,混合型
550003,信诚盛世蓝筹混合,-8.69,-11.55,-15.57,-21.24,-0.2,-20.37,213.95,混合型
001210,天弘互联网灵活配置混合,-9.39,-16.94,-21.21,-27.74,-9.59,-27.26,-50.71,混合型
002213,中海顺鑫灵活配置混合,-9.04,-13.22,-18.5,0,0,-20.17,-20.17,混合型
481004,工银瑞信稳健成长混合A,-8.25,-14.43,-23.25,-29.89,-23.48,-28.46,13.56,混合型
000061,华夏盛世精选混合,-12.62,-17.62,-31.31,-44.54,-30.36,-38.95,-46.7,混合型
450004,富兰克林国海深化价值混合,-11.41,-15.75,-18.8,-17.13,-6.98,-19.95,39,混合型
002938,中银证券健康产业灵活配置混合,-7.77,-15.86,-20.97,-22.53,-9.78,-20.05,-18.53,混合型
002622,广发稳裕保本混合,-0.09,0.37,1.67,5.37,5.07,4.37,10.95,混合型
004747,富国新优享灵活配置混合C,-1.86,-1.63,-0.2,1.71,0,0.28,4.72,混合型
004209,大成智惠量化多策略灵活配置混合,-10.41,-12.95,-16.77,-21.22,0,-22.28,-11.96,混合型
000216,华安易富黄金ETF联接A,4.42,2.67,1.69,0.41,-0.85,0.47,1.59,混合型
001244,华泰柏瑞量化智慧灵活配置混合A,-10.72,-16.84,-21.75,-28.26,-6.84,-25.51,-9.94,混合型
001758,嘉实研究增强灵活配置混合,-9.87,-17.11,-24.81,-36.95,0,-35.97,-21.5,混合型
005643,鹏扬景升灵活配置混合C,-7.4,-9.3,-11.66,0,0,-13.54,-13.54,混合型
001907,国投瑞银境煊灵活配置混合A,-0.8,-1.86,-0.16,0,0,1.28,9.18,混合型
004434,博时逆向投资混合A,-4.29,-10.28,-16.44,-19.63,0,-19.63,-28.41,混合型
001888,中欧盛世成长混合E,-10.92,-9,-19.71,-22.73,-9.29,-26.32,5.97,混合型
005255,浦银安盛港股通量化优选灵活配置混合,-8.76,-11.4,-11.52,0,0,-12.53,-12.53,混合型
620008,金元顺安新经济主题混合,-8.97,-13.41,-14.8,-19.2,-3.3,-19.62,6.5,混合型
002910,易方达供给改革灵活配置混合,-9.22,-15.41,-16.48,-17.09,0,-19.33,-15.34,混合型
005399,长信量化价值驱动混合,-3.17,0,0,0,0,-2.31,-2.31,混合型
000556,国投瑞银新机遇灵活配置混合A,-4.81,-6.9,-10.2,-9.87,-1.11,-11.64,36.56,混合型
590005,中邮核心主题混合,-11.49,-15.15,-22.76,-36.95,-17.61,-35.93,42.33,混合型
002249,招商境远灵活配置混合,-9.74,-13.69,-20.39,0,0,-23.43,-20.23,混合型
519158,新华趋势领航混合,-8.54,-13.58,-19.29,-25.52,-9.82,-22.87,84.78,混合型
004233,中欧盛世成长混合C,-10.97,-9.1,-19.92,-22.84,0,-26.58,-14.98,混合型
000663,国投瑞银美丽中国灵活配置混合,-7.57,-11.48,-14.39,-18.6,-6.38,-17.23,53.65,混合型
610002,信达澳银精华配置混合,-7.78,-12.17,-16.41,-18.54,-0.5,-18.47,126.4,混合型
001670,长城新策略灵活配置混合A,0.19,0.12,0.82,-0.95,4.78,0.25,7.27,混合型
005123,南方优享分红灵活配置混合,-9.61,-16.75,-16.66,0,0,-21.73,-20.46,混合型
360007,光大保德信优势配置混合,-7.68,-19.07,-22.67,-28.61,-7.43,-30.43,16.95,混合型
160916,大成优选混合(LOF),-8.42,-12.54,-13.44,-15.38,1.99,-15.86,79.35,混合型
005215,南方全天候策略混合(FOF)A,-1.64,-2.87,-2.79,-2.89,0,-3.48,-2.84,混合型
110025,易方达资源行业混合,-11.07,-16.22,-24.84,-28.98,-8.61,-29.84,-18.9,混合型
001479,中邮风格轮动灵活配置混合,-4.51,-6.85,-6.11,-11.61,-4.83,-9.25,6.41,混合型
000520,上银新兴价值成长混合,-11.78,-17.61,-16.49,-22.65,-8.81,-21.73,56.42,混合型
110011,易方达中小盘混合,-20.01,-23.23,-18.47,-15.58,7.9,-19.14,255.5,混合型
004237,中欧新蓝筹灵活配置混合C,-8.27,-10.78,-13.68,-18.78,0,-19.01,-3.92,混合型
000823,银华高端制造业灵活配置混合,-9.47,-14.62,-21.15,-27.87,-9.45,-25,-34,混合型
005438,易方达易百智能量化策略灵活配置混合C,-8.07,-13.83,-20.03,0,0,-23.07,-23.07,混合型
410001,华富竞争力优选混合,-12.99,-19.63,-19.7,-19.51,-8.6,-20.51,176.62,混合型
001857,易方达现代服务业灵活配置混合,-19.54,-23.74,-22.45,0,0,-27.89,-27.1,混合型
002006,工银瑞信新得益混合,-0.8,-0.8,-0.71,1.83,0,0.36,11.1,混合型
163810,中银价值混合,-7.23,-10.53,-17.06,-22.79,-3.58,-24.35,33.3,混合型
519066,汇添富蓝筹稳健混合,-8.96,-13.55,-18.93,-19.83,4.82,-21.97,249.17,混合型
229002,泰达宏利逆向策略混合,-11.06,-17.61,-22.21,-27.01,-15.78,-25.45,87.34,混合型
166020,中欧成长优选回报灵活配置混合A,-9.02,-13.15,-15.5,-17.82,-2.47,-17.32,22.55,混合型
121008,国投瑞银成长优选混合,-9.55,-13.29,-17.88,-24.69,-9.76,-22.94,-0.6,混合型
004468,建信瑞福添利混合C,-1.88,-3.09,-5.55,-11.12,0,-10.27,-10.08,混合型
370027,上投摩根智选30混合,-10.45,-21.13,-26.72,-40.17,-10.18,-34.16,30.3,混合型
070022,嘉实领先成长混合,-14.17,-22.26,-29.47,-30.34,-12.59,-31.71,79.75,混合型
000939,中银研究精选灵活配置混合,-9.25,-14.76,-18.76,-21.26,-15.14,-18.87,-27.82,混合型
004142,招商盛合灵活配置混合A,-6.56,-9.69,-12.5,-16.19,0,-15.72,-16.05,混合型
001564,东方红京东大数据灵活配置混合,-10.84,-16.36,-19.96,-23.16,-0.52,-22.89,13.5,混合型
002340,富国价值优势混合,-11.43,-16.09,-22.26,-20.69,-0.72,-22.92,10,混合型
002011,华夏红利混合,-8.81,-13.46,-20.07,-28.32,-14.3,-25.5,582.29,混合型
001125,博时互联网主题灵活配置混合,-8.33,-20.72,-28.36,-33.58,-10.49,-33.67,-47.2,混合型
001832,易方达瑞恒灵活配置混合,-19.78,-24.68,-22.14,0,0,-28.6,-28.6,混合型
004218,前海开源裕和定期开放混合,-1.71,-6.7,-5.57,-8.1,0,-6.47,-6.46,混合型
519039,长盛同德主题增长混合,-10.47,-12.9,-16.94,-26.62,-9.62,-24.13,11.61,混合型
004448,博时汇智回报灵活配置混合,-0.03,-0.97,-4.75,0.63,0,0.02,16.79,混合型
000526,国泰浓益灵活配置混合A,-8.4,-12.23,-18.49,-17.59,-3.93,-17.93,19.9,混合型
580006,东吴新经济混合,-9.78,-13.67,-20.52,-29.41,-16.27,-24.46,-2.86,混合型
003404,招商稳盛定期开放灵活配置混合A,-1.83,-5.34,-6.75,-6.38,0,-6.14,-1.02,混合型
000390,华商优势行业灵活配置混合,-10.17,-13.88,-18.51,-15.22,-3.59,-16.68,97.56,混合型
002227,长城新优选混合A,0.38,0.6,1.82,4.75,6.55,4.19,16.58,混合型
002458,国泰民利保本混合,0.19,0.58,0.97,1.56,1.83,1.56,3.9,混合型
002366,国联安鑫禧灵活配置混合C,-0.76,-1.3,5.93,-5.41,-0.14,0.44,2.81,混合型
000597,中海积极收益灵活配置混合,0.78,1.2,2.03,3.77,6.75,2.36,31.74,混合型
001174,中欧瑾和灵活配置混合C,-3.46,-4.41,-8.27,-11.67,-5.5,-10.29,-2.4,混合型
000747,广发逆向策略灵活配置混合,-12.97,-17.84,-18.15,-16.53,-7.14,-20.73,30.8,混合型
519170,浦银安盛增长动力灵活配置混合,-10.89,-22.47,-32.73,-38.86,-21.06,-33.2,-51.7,混合型
005392,长信价值蓝筹两年定期开放灵活配置混合,-2.48,0,0,0,0,-1.66,-1.66,混合型
165508,信诚深度价值混合(LOF),-8.65,-13.92,-23.56,-32.9,-12.65,-31.69,33,混合型
519702,交银施罗德趋势优先混合,-14.27,-19.4,-17.04,-21.58,-4.24,-24.06,60.5,混合型
090011,大成核心双动力混合,-8.24,-11.63,-17.76,-24.05,-7.37,-22.74,32.23,混合型
002783,东方红价值精选混合A,-3.01,-4.6,-5.5,-3.26,0.98,-2.72,2.06,混合型
161226,国投瑞银白银期货(LOF),2.69,-3.78,-5.09,-12.08,-13.16,-10.43,-23.6,混合型
005618,融通红利机会主题精选灵活配置混合A,-1.9,-3.57,-6.89,0,0,-6.22,-6.22,混合型
